S. No.,City,Gender,Marital Status,Age,Education,Role,Number of investors in family,Household Income,Percentage of Investment,Source of Awareness about Investment,Knowledge level about different investment product,Knowledge level about sharemarket,Knowledge about Govt. Schemes,Investment Influencer,Investment Experience,Risk Level,Return Earned,Reason for Investment
725,Seattle,Women,Married,Early Working,Uneducated,Training and Development Executive,3,US$ 13676 to US$ 19145,6% to 10%,Flash Board,9,2,1,Friends Reference,Less Than 1 Year,High,5 to 6,Return
726,San Francisco,Women,Married,Mature Working,Secondary,Computer and Information System Executive,2,US$ 2736 to US$ 8205,Don't Want to Reveal,Television,8,2,6,Family Reference,Above 9 Years,High,5 to 6,Status
727,Houston,Women,Married,Children,Primary,Computer and Information System Executive,4,US$ 24616 to US$ 30085,21% to 25%,Television,9,4,5,Institutions,7 Years to 9 Years,Medium,10 to 12 ,Others
728,Memphis,Women,Never Married,Mature Working,Uneducated,Top Executives,2,US$ 2736 to US$ 8205,21% to 25%,Workers,5,3,6,Institutions,7 Years to 9 Years,Medium,10 to 12 ,Tax
729,San Francisco,Men,Married,Elderly,Uneducated,Training and Development Executive,4,US$ 13676 to US$ 19145,16% to 20%,Television,3,4,4,Intermediaries,Above 9 Years,Low,1 to 4,Others
730,San Francisco,Men,Never Married,Prime Working,Primary,Marketing and Sales Executive,2,Above US$ 30086,11% to 15%,Workers,5,6,6,Social Media,1 Year to 3 Years,High,Negative Return,Return
731,Houston,Men,Married,Early Working,Secondary,Computer and Information System Executive,4,Above US$ 30086,Upto 5%,Magazine,10,10,3,Others,1 Year to 3 Years,Low,Negative Return,Fun and Exitement
732,San Francisco,Women,Never Married,Mature Working,Teritary,Marketing and Sales Executive,1,US$ 19146 to US$ 24615,6% to 10%,Others,1,10,3,Institutions,Less Than 1 Year,High,More than 13,Status
733,San Francisco,Men,Married,Prime Working,Secondary,Advertising and Promotion Executive,1,US$ 24616 to US$ 30085,16% to 20%,Television,1,3,4,Others,Less Than 1 Year,High,1 to 4,Inflation
734,New York,Women,Never Married,Prime Working,Teritary,Computer and Information System Executive,4,Above US$ 30086,11% to 15%,Workers,4,10,3,Family Reference,7 Years to 9 Years,High,10 to 12 ,Fun and Exitement
735,Houston,Women,Never Married,Elderly,Primary,Training and Development Executive,2,US$ 19146 to US$ 24615,Upto 5%,Others,9,10,5,Others,Above 9 Years,Low,10 to 12 ,Others
736,Houston,Women,Never Married,Prime Working,Middle,Top Executives,5,US$ 24616 to US$ 30085,Upto 5%,Friends,2,6,6,Others,7 Years to 9 Years,High,5 to 6,Tax
737,San Francisco,Women,Never Married,Early Working,Teritary,Computer and Information System Executive,3,US$ 2736 to US$ 8205,Don't Want to Reveal,Family,9,8,5,Intermediaries,4 Years to 6 Years,High,5 to 6,Status
738,New York,Women,Married,Prime Working,Teritary,Computer and Information System Executive,5,US$ 19146 to US$ 24615,Above 26%,Others,6,4,5,Family Reference,4 Years to 6 Years,Low,10 to 12 ,Others
739,Seattle,Men,Never Married,Early Working,Secondary,Training and Development Executive,4,US$ 19146 to US$ 24615,16% to 20%,Magazine,5,7,6,Institutions,1 Year to 3 Years,Low,More than 13,Return
740,Houston,Women,Married,Prime Working,Uneducated,Marketing and Sales Executive,4,US$ 8206 to US$ 13675,Above 26%,Flash Board,3,4,6,Social Media,Above 9 Years,Low,10 to 12 ,Status
741,Houston,Men,Married,Prime Working,Uneducated,Advertising and Promotion Executive,4,US$ 2736 to US$ 8205,6% to 10%,Others,1,9,1,Intermediaries,Less Than 1 Year,Medium,5 to 6,Inflation
742,New York,Women,Never Married,Elderly,Secondary,Advertising and Promotion Executive,2,US$ 19146 to US$ 24615,11% to 15%,Workers,9,6,1,Family Reference,1 Year to 3 Years,Low,More than 13,Others
743,Memphis,Men,Never Married,Early Working,Secondary,Training and Development Executive,2,US$ 2736 to US$ 8205,Above 26%,Workers,9,10,2,Intermediaries,1 Year to 3 Years,Low,1 to 4,Inflation
744,Seattle,Men,Never Married,Elderly,Secondary,Training and Development Executive,2,Above US$ 30086,Upto 5%,Friends,6,3,5,Workers Reference,Above 9 Years,Low,10 to 12 ,Tax
745,Memphis,Men,Married,Elderly,Uneducated,Marketing and Sales Executive,1,US$ 8206 to US$ 13675,Above 26%,Others,5,3,2,Social Media,Less Than 1 Year,High,More than 13,Tax
746,New York,Men,Married,Elderly,Primary,Advertising and Promotion Executive,5,US$ 2735,Upto 5%,Television,9,2,4,Institutions,4 Years to 6 Years,High,5 to 6,Others
747,New York,Women,Married,Elderly,Middle,Training and Development Executive,3,US$ 2735,Upto 5%,Flash Board,10,4,4,Social Media,Above 9 Years,Medium,More than 13,Others
748,Memphis,Women,Married,Mature Working,Secondary,Advertising and Promotion Executive,2,US$ 8206 to US$ 13675,6% to 10%,Family,9,2,6,Workers Reference,4 Years to 6 Years,Medium,7 to 9,Return
749,New York,Men,Married,Prime Working,Uneducated,Top Executives,3,US$ 19146 to US$ 24615,21% to 25%,Workers,10,7,3,Intermediaries,Less Than 1 Year,Low,Negative Return,Return
750,Memphis,Women,Never Married,Children,Primary,Top Executives,3,Above US$ 30086,16% to 20%,Flash Board,9,3,5,Workers Reference,Above 9 Years,Low,5 to 6,Status
751,New York,Men,Never Married,Elderly,Primary,Marketing and Sales Executive,3,US$ 2736 to US$ 8205,6% to 10%,Others,7,3,2,Institutions,Above 9 Years,High,5 to 6,Status
752,New York,Men,Married,Elderly,Primary,Marketing and Sales Executive,1,US$ 2735,6% to 10%,Workers,3,9,1,Social Media,Less Than 1 Year,High,5 to 6,Tax
753,Seattle,Men,Never Married,Children,Middle,Marketing and Sales Executive,4,US$ 24616 to US$ 30085,21% to 25%,Others,9,4,6,Social Media,7 Years to 9 Years,Medium,10 to 12 ,Return
754,Seattle,Men,Married,Children,Teritary,Top Executives,1,US$ 24616 to US$ 30085,Don't Want to Reveal,Flash Board,7,5,4,Social Media,4 Years to 6 Years,High,1 to 4,Others
755,New York,Men,Married,Children,Middle,Computer and Information System Executive,5,US$ 13676 to US$ 19145,Don't Want to Reveal,Family,3,10,6,Institutions,4 Years to 6 Years,Medium,1 to 4,Return
756,San Francisco,Men,Married,Elderly,Teritary,Advertising and Promotion Executive,4,US$ 13676 to US$ 19145,11% to 15%,Magazine,3,1,6,Intermediaries,4 Years to 6 Years,High,7 to 9,Return
757,Houston,Men,Never Married,Mature Working,Teritary,Advertising and Promotion Executive,2,US$ 8206 to US$ 13675,16% to 20%,Friends,2,8,4,Family Reference,Less Than 1 Year,High,5 to 6,Inflation
758,Houston,Women,Never Married,Elderly,Middle,Computer and Information System Executive,4,US$ 2736 to US$ 8205,11% to 15%,Others,2,8,6,Others,4 Years to 6 Years,Medium,7 to 9,Inflation
759,Seattle,Women,Never Married,Children,Middle,Advertising and Promotion Executive,5,US$ 13676 to US$ 19145,Upto 5%,Flash Board,7,5,6,Workers Reference,4 Years to 6 Years,Medium,More than 13,Return
760,Houston,Men,Never Married,Elderly,Uneducated,Top Executives,3,US$ 13676 to US$ 19145,16% to 20%,Flash Board,3,4,4,Friends Reference,1 Year to 3 Years,Low,Negative Return,Others
761,New York,Women,Married,Children,Secondary,Advertising and Promotion Executive,2,US$ 2735,6% to 10%,Others,7,8,4,Family Reference,1 Year to 3 Years,Medium,1 to 4,Tax
762,San Francisco,Men,Never Married,Elderly,Teritary,Top Executives,2,US$ 24616 to US$ 30085,16% to 20%,Flash Board,10,8,5,Family Reference,7 Years to 9 Years,Medium,7 to 9,Status
763,New York,Women,Married,Early Working,Uneducated,Top Executives,2,US$ 2736 to US$ 8205,21% to 25%,Family,4,3,5,Intermediaries,Above 9 Years,Low,Negative Return,Others
764,Memphis,Women,Married,Mature Working,Secondary,Marketing and Sales Executive,4,US$ 24616 to US$ 30085,6% to 10%,Workers,7,7,6,Social Media,1 Year to 3 Years,High,Negative Return,Fun and Exitement
765,Seattle,Men,Married,Prime Working,Secondary,Advertising and Promotion Executive,1,US$ 2736 to US$ 8205,16% to 20%,Workers,10,1,3,Social Media,1 Year to 3 Years,High,5 to 6,Return
766,Houston,Women,Married,Elderly,Primary,Advertising and Promotion Executive,5,US$ 19146 to US$ 24615,Don't Want to Reveal,Others,7,1,3,Institutions,Less Than 1 Year,High,10 to 12 ,Status
767,Memphis,Men,Never Married,Early Working,Secondary,Training and Development Executive,4,US$ 2735,11% to 15%,Friends,7,2,4,Social Media,Less Than 1 Year,High,5 to 6,Return
768,San Francisco,Men,Never Married,Prime Working,Secondary,Advertising and Promotion Executive,3,US$ 24616 to US$ 30085,11% to 15%,Flash Board,4,6,1,Friends Reference,7 Years to 9 Years,Low,5 to 6,Status
769,San Francisco,Men,Married,Prime Working,Secondary,Computer and Information System Executive,2,Above US$ 30086,6% to 10%,Friends,8,6,3,Friends Reference,7 Years to 9 Years,Low,5 to 6,Status
770,San Francisco,Women,Never Married,Children,Secondary,Marketing and Sales Executive,3,US$ 19146 to US$ 24615,16% to 20%,Magazine,7,4,3,Institutions,7 Years to 9 Years,Low,5 to 6,Others
771,San Francisco,Women,Never Married,Prime Working,Teritary,Training and Development Executive,2,US$ 2735,Above 26%,Television,7,4,3,Social Media,7 Years to 9 Years,Low,5 to 6,Fun and Exitement
772,Houston,Men,Never Married,Early Working,Middle,Training and Development Executive,1,Above US$ 30086,21% to 25%,Television,3,2,1,Institutions,1 Year to 3 Years,Medium,5 to 6,Return
773,Seattle,Men,Never Married,Children,Uneducated,Marketing and Sales Executive,4,US$ 19146 to US$ 24615,Don't Want to Reveal,Flash Board,6,1,6,Intermediaries,1 Year to 3 Years,Medium,10 to 12 ,Inflation
774,Seattle,Men,Married,Elderly,Middle,Computer and Information System Executive,4,US$ 2736 to US$ 8205,Above 26%,Workers,3,1,1,Others,4 Years to 6 Years,Low,Negative Return,Status
775,Seattle,Women,Never Married,Mature Working,Teritary,Computer and Information System Executive,5,US$ 24616 to US$ 30085,11% to 15%,Others,6,2,5,Friends Reference,Less Than 1 Year,Medium,10 to 12 ,Inflation
776,Memphis,Women,Never Married,Early Working,Uneducated,Computer and Information System Executive,4,US$ 19146 to US$ 24615,11% to 15%,Workers,9,9,1,Friends Reference,7 Years to 9 Years,High,10 to 12 ,Fun and Exitement
777,New York,Men,Married,Elderly,Secondary,Advertising and Promotion Executive,1,US$ 2735,21% to 25%,Flash Board,9,9,1,Family Reference,Less Than 1 Year,Low,10 to 12 ,Return
778,Houston,Women,Married,Early Working,Uneducated,Top Executives,3,Above US$ 30086,21% to 25%,Magazine,2,10,6,Intermediaries,1 Year to 3 Years,High,7 to 9,Others
779,Seattle,Men,Never Married,Mature Working,Teritary,Training and Development Executive,5,US$ 2735,6% to 10%,Others,7,5,6,Friends Reference,7 Years to 9 Years,Medium,7 to 9,Inflation
780,New York,Men,Married,Early Working,Secondary,Top Executives,2,Above US$ 30086,Upto 5%,Workers,6,1,2,Social Media,4 Years to 6 Years,High,1 to 4,Others
781,New York,Women,Never Married,Elderly,Secondary,Top Executives,1,US$ 24616 to US$ 30085,Above 26%,Friends,1,1,3,Family Reference,1 Year to 3 Years,Medium,More than 13,Tax
782,Memphis,Men,Never Married,Early Working,Teritary,Advertising and Promotion Executive,4,US$ 2736 to US$ 8205,21% to 25%,Television,3,9,3,Family Reference,7 Years to 9 Years,Low,1 to 4,Inflation
783,Memphis,Women,Never Married,Mature Working,Middle,Training and Development Executive,5,US$ 2735,Above 26%,Family,2,5,6,Institutions,1 Year to 3 Years,Low,7 to 9,Inflation
784,Seattle,Men,Never Married,Children,Uneducated,Computer and Information System Executive,1,US$ 19146 to US$ 24615,Don't Want to Reveal,Friends,5,4,4,Intermediaries,Less Than 1 Year,High,Negative Return,Fun and Exitement
785,Memphis,Women,Never Married,Elderly,Uneducated,Training and Development Executive,5,US$ 19146 to US$ 24615,Don't Want to Reveal,Workers,9,2,3,Friends Reference,7 Years to 9 Years,Medium,1 to 4,Tax
786,Houston,Men,Never Married,Elderly,Uneducated,Marketing and Sales Executive,1,US$ 8206 to US$ 13675,Above 26%,Workers,5,9,5,Social Media,4 Years to 6 Years,Low,5 to 6,Return
787,Houston,Women,Married,Mature Working,Middle,Computer and Information System Executive,4,US$ 8206 to US$ 13675,Don't Want to Reveal,Magazine,7,9,2,Workers Reference,Above 9 Years,Medium,More than 13,Others
788,Houston,Men,Never Married,Prime Working,Uneducated,Marketing and Sales Executive,2,US$ 13676 to US$ 19145,Above 26%,Workers,7,10,5,Institutions,Less Than 1 Year,Low,Negative Return,Inflation
789,San Francisco,Women,Never Married,Mature Working,Teritary,Top Executives,5,US$ 19146 to US$ 24615,11% to 15%,Family,10,6,3,Family Reference,7 Years to 9 Years,High,10 to 12 ,Return
790,Seattle,Men,Never Married,Early Working,Primary,Top Executives,3,US$ 2736 to US$ 8205,21% to 25%,Friends,10,10,2,Family Reference,7 Years to 9 Years,Medium,7 to 9,Inflation
791,Memphis,Men,Married,Prime Working,Teritary,Computer and Information System Executive,1,US$ 8206 to US$ 13675,21% to 25%,Workers,8,6,3,Social Media,1 Year to 3 Years,Low,More than 13,Inflation
792,Houston,Men,Never Married,Mature Working,Teritary,Training and Development Executive,5,US$ 8206 to US$ 13675,16% to 20%,Workers,6,5,2,Social Media,Less Than 1 Year,Medium,5 to 6,Inflation
793,New York,Women,Never Married,Mature Working,Uneducated,Marketing and Sales Executive,5,US$ 13676 to US$ 19145,21% to 25%,Workers,3,8,4,Social Media,4 Years to 6 Years,High,1 to 4,Return
794,New York,Women,Never Married,Mature Working,Middle,Computer and Information System Executive,1,US$ 24616 to US$ 30085,6% to 10%,Others,1,9,1,Social Media,Above 9 Years,Medium,1 to 4,Fun and Exitement
795,Houston,Women,Never Married,Children,Uneducated,Top Executives,2,US$ 24616 to US$ 30085,11% to 15%,Flash Board,4,6,3,Friends Reference,Above 9 Years,Low,1 to 4,Tax
796,Seattle,Women,Married,Children,Primary,Advertising and Promotion Executive,2,US$ 19146 to US$ 24615,Upto 5%,Television,1,8,5,Friends Reference,Less Than 1 Year,Medium,7 to 9,Fun and Exitement
797,Seattle,Women,Never Married,Early Working,Primary,Marketing and Sales Executive,5,US$ 2736 to US$ 8205,6% to 10%,Workers,3,1,4,Others,4 Years to 6 Years,Medium,1 to 4,Tax
798,Houston,Women,Married,Prime Working,Primary,Top Executives,4,US$ 8206 to US$ 13675,Above 26%,Others,5,5,6,Institutions,4 Years to 6 Years,High,5 to 6,Fun and Exitement
799,San Francisco,Men,Never Married,Mature Working,Middle,Marketing and Sales Executive,5,US$ 8206 to US$ 13675,Above 26%,Flash Board,4,3,3,Friends Reference,Above 9 Years,Medium,10 to 12 ,Others
800,Houston,Men,Never Married,Early Working,Uneducated,Computer and Information System Executive,4,US$ 2735,Upto 5%,Friends,6,9,2,Family Reference,1 Year to 3 Years,Low,1 to 4,Fun and Exitement
801,Houston,Men,Married,Mature Working,Middle,Marketing and Sales Executive,3,US$ 19146 to US$ 24615,Above 26%,Television,6,6,5,Intermediaries,7 Years to 9 Years,High,10 to 12 ,Tax
802,Seattle,Men,Never Married,Prime Working,Teritary,Marketing and Sales Executive,4,US$ 19146 to US$ 24615,Upto 5%,Family,10,5,3,Workers Reference,7 Years to 9 Years,High,10 to 12 ,Fun and Exitement
803,San Francisco,Men,Married,Mature Working,Middle,Advertising and Promotion Executive,1,Above US$ 30086,16% to 20%,Others,7,6,4,Friends Reference,Less Than 1 Year,Medium,10 to 12 ,Others
804,New York,Women,Married,Mature Working,Teritary,Marketing and Sales Executive,2,US$ 2736 to US$ 8205,21% to 25%,Workers,4,5,5,Others,4 Years to 6 Years,Medium,1 to 4,Others
805,Seattle,Women,Married,Prime Working,Uneducated,Top Executives,4,Above US$ 30086,Upto 5%,Friends,1,5,5,Others,1 Year to 3 Years,High,Negative Return,Return
806,Seattle,Men,Married,Early Working,Secondary,Top Executives,1,US$ 2735,Don't Want to Reveal,Friends,2,3,1,Intermediaries,7 Years to 9 Years,Medium,10 to 12 ,Return
807,Seattle,Men,Never Married,Children,Secondary,Top Executives,4,Above US$ 30086,11% to 15%,Magazine,1,9,3,Workers Reference,7 Years to 9 Years,Low,Negative Return,Inflation
808,San Francisco,Men,Never Married,Children,Uneducated,Advertising and Promotion Executive,1,US$ 13676 to US$ 19145,11% to 15%,Others,1,5,5,Social Media,Less Than 1 Year,High,10 to 12 ,Tax
809,Memphis,Women,Married,Children,Uneducated,Marketing and Sales Executive,3,US$ 19146 to US$ 24615,16% to 20%,Workers,6,5,2,Social Media,1 Year to 3 Years,High,Negative Return,Return
810,New York,Men,Never Married,Prime Working,Middle,Training and Development Executive,1,Above US$ 30086,Above 26%,Flash Board,3,1,4,Institutions,4 Years to 6 Years,High,5 to 6,Fun and Exitement
